                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.8094,                 1.9287,                 1.7939,                0.44404,                0.34123,                0.33364,                 0.1704,                 1.7597,                 1.8329,                 1.7274,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.8328,                 1.9173,                 1.7942,                0.45405,                 0.3402,                 0.3285,                0.16352,                 1.8036,                 1.8833,                 1.7314,              0.0014258,              0.0014258,              0.0014258
                     60,                 1.8035,                 1.9123,                 1.7852,                0.44695,                0.34494,                0.33539,                0.17125,                 1.7627,                 1.8563,                 1.7101,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.8081,                 1.8748,                 1.7525,                0.45669,                0.33093,                0.32989,                0.16245,                  1.817,                 1.8588,                 1.7321,               0.001406,               0.001406,               0.001406
                     62,                 1.7853,                 1.8833,                 1.7619,                0.45372,                0.31506,                 0.3045,                0.15584,                 1.7786,                 1.9421,                 1.7368,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.7842,                 1.8928,                 1.7506,                0.46083,                0.35916,                0.34089,                0.17147,                 1.7532,                 1.8087,                  1.694,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.7876,                 1.8671,                 1.7462,                0.45909,                0.35257,                0.34572,                0.17566,                 1.7594,                 1.7811,                 1.7053,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.7917,                 1.8456,                 1.7493,                 0.4695,                0.35978,                0.35306,                0.18204,                  1.736,                 1.7899,                 1.6924,              0.0013664,              0.0013664,              0.0013664
                     66,                 1.7933,                 1.8702,                 1.7505,                0.44931,                0.35957,                 0.3446,                0.17419,                 1.7433,                 1.8088,                  1.684,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.7761,                 1.8786,                 1.7523,                0.45704,                0.36685,                0.34898,                0.18446,                 1.7409,                 1.7551,                 1.6699,              0.0013466,              0.0013466,              0.0013466
